Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Afghanistan,AFG,..,..,7.28490495681763,8.26023578643799,8.20247173309326,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Albania,ALB,..,..,10.4410238265991,10.8297872543335,10.5701904296875,10.9706964492798,11.4001798629761,10.1343832015991,9.83377838134766,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Algeria,DZA,..,..,16.0845546722412,16.1110439300537,17.5560722351074,15.6197366714478,16.0217590332031,16.5491714477539,16.0506973266602,13.1015062332153,13.2610235214233,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Andorra,AND,..,..,10.4428100585938,9.99098014831543,9.39243984222412,13.4619197845459,10.8952398300171,8.99186897277832,10.2647352218628,6.96124982833862,12.7695150375366,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Angola,AGO,..,5.2550802230835,8.918776512146,6.55097389221191,6.7637767791748,5.77752447128296,6.04535579681396,5.2947359085083,6.91961002349854,6.64047193527222,7.73896265029907,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Antigua and Barbuda,ATG,..,..,7.63021183013916,6.48356962203979,7.17285442352295,7.58762550354004,7.13054037094116,7.37875652313232,6.85999488830566,9.1680383682251,9.80351543426514,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Argentina,ARG,..,16.2261505126953,13.9633102416992,13.3555402755737,13.2639198303223,12.5233402252197,12.5144596099854,12.4222898483276,12.2848997116089,12.7075796127319,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Armenia,ARM,..,..,..,..,8.89112567901611,8.98857688903809,10.0050926208496,9.57238006591797,9.66730403900146,9.70266437530518,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Aruba,ABW,..,21.807710647583,23.201379776001,21.8537502288818,18.5214080810547,20.1234397888184,19.4014263153076,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Australia,AUS,..,14.4271249771118,14.8824272155762,14.8905534744263,14.8495864868164,15.1084365844727,15.2933683395386,14.4562530517578,13.1453952789307,13.9446935653687,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Austria,AUT,..,10.2170248031616,9.65059852600098,9.77871322631836,9.81950569152832,9.81190967559814,9.88176250457764,8.94960975646973,8.81137847900391,8.97728061676025,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Azerbaijan,AZE,..,..,8.26628303527832,9.44595050811768,7.82062816619873,8.45423603057861,8.59315299987793,9.80201053619385,10.7886276245117,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,"Bahamas, The",BHS,..,19.7952098846436,12.4450998306274,12.103554725647,11.7079401016235,12.6787691116333,11.2915163040161,12.1819257736206,12.282262802124,11.4419317245483,11.5939617156982,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Bahrain,BHR,..,..,7.32818984985352,9.62066841125488,7.22384977340698,9.25130939483643,8.55740356445312,9.36690330505371,9.08058261871338,9.29553604125977,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Bangladesh,BGD,11.191029548645,20.4904193878174,12.0441026687622,13.9817361831665,13.8549823760986,11.9579200744629,11.3293676376343,10.3874378204346,10.221302986145,11.6619834899902,10.6746625900269,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Barbados,BRB,..,22.1503505706787,17.8095474243164,13.3624496459961,12.879150390625,16.3585720062256,13.8598604202271,16.1424694061279,14.8447303771973,12.7307195663452,12.4731502532959,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Belarus,BLR,..,..,13.0505609512329,13.5779962539673,12.978702545166,13.2640409469604,13.0782632827759,12.8703765869141,12.3624439239502,12.8108110427856,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Belgium,BEL,..,11.2052040100098,11.7361478805542,11.6954307556152,11.9768667221069,11.8788394927979,11.8170013427734,11.1488370895386,11.3196802139282,..,..,..
