"Research and development expenditure as a proportion of GDP, %"
Country_ID, Country_E, Indicator_Id, Indicator_E, Period, Value
"703","Slovakia","T","Total","2017","0.88456"
"703","Slovakia","T","Total","2018","0.83555"
"703","Slovakia","T","Total","2019","0.8224"
"703","Slovakia","T","Total","2020","0.89773"
"703","Slovakia","T","Total","2021","0.91611"
"703","Slovakia","T","Total","2022","0.97939"
"442","Luxembourg","T","Total","2011","1.42453"
"442","Luxembourg","T","Total","2012","1.20664"
"442","Luxembourg","T","Total","2013","1.23381"
"442","Luxembourg","T","Total","2014","1.217"
"442","Luxembourg","T","Total","2015","1.25226"
"442","Luxembourg","T","Total","2016","1.2669"
"442","Luxembourg","T","Total","2017","1.23898"
"442","Luxembourg","T","Total","2018","1.1718"
"031","Azerbaijan","T","Total","2011","0.21084"
"031","Azerbaijan","T","Total","2012","0.21427"
"031","Azerbaijan","T","Total","2013","0.20969"
"031","Azerbaijan","T","Total","2014","0.20978"
"031","Azerbaijan","T","Total","2015","0.22232"
"031","Azerbaijan","T","Total","2016","0.20637"
"031","Azerbaijan","T","Total","2017","0.18468"
"031","Azerbaijan","T","Total","2018","0.18416"
"031","Azerbaijan","T","Total","2019","0.20013"
"031","Azerbaijan","T","Total","2020","0.2239"
"031","Azerbaijan","T","Total","2021","0.20836"
"031","Azerbaijan","T","Total","2022","0.1513"
"031","Azerbaijan","T","Total","2023","0.18178"
"688","Serbia","T","Total","2011","0.68334"
"688","Serbia","T","Total","2012","0.85316"
"688","Serbia","T","Total","2013","0.68367"
"688","Serbia","T","Total","2014","0.72309"
"688","Serbia","T","Total","2015","0.8109"
"688","Serbia","T","Total","2016","0.83822"
"688","Serbia","T","Total","2017","0.87238"
"688","Serbia","T","Total","2018","0.91891"
"688","Serbia","T","Total","2019","0.88667"
"688","Serbia","T","Total","2020","0.90558"
"688","Serbia","T","Total","2021","0.99379"
"688","Serbia","T","Total","2022","0.96616"
"688","Serbia","T","Total","2023","0.95005"
"112","Belarus","T","Total","2011","0.6776"
"112","Belarus","T","Total","2012","0.64603"
"112","Belarus","T","Total","2013","0.65191"
"112","Belarus","T","Total","2014","0.50548"
"112","Belarus","T","Total","2015","0.49999"
"112","Belarus","T","Total","2016","0.50063"
"112","Belarus","T","Total","2017","0.58411"
"112","Belarus","T","Total","2018","0.60443"
"112","Belarus","T","Total","2019","0.57733"
"112","Belarus","T","Total","2020","0.53901"
