year,country,total_score,num_universities,avg_score
2017,Argentina,65.8,1,65.8
2017,Australia,884.1,15,58.940000000000005
2017,Austria,139.0,3,46.333333333333336
2017,Belgium,318.7,6,53.11666666666667
2017,Brazil,107.0,2,53.5
2017,Canada,733.1,13,56.392307692307696
2017,Chile,101.4,2,50.7
2017,China (Mainland),656.0,11,59.63636363636363
2017,Colombia,77.4,2,38.7
2017,Denmark,191.5,3,63.833333333333336
2017,Finland,164.5,3,54.833333333333336
2017,France,664.6,14,47.471428571428575
2017,Germany,980.5,19,51.60526315789474
2017,Hong Kong SAR,420.0,6,70.0
2017,India,188.0,4,47.0
2017,Ireland,191.1,4,47.775
2017,Israel,145.3,3,48.43333333333334
2017,Italy,138.8,3,46.26666666666667
2017,Japan,726.2,12,60.51666666666667
2017,Kazakhstan,42.5,1,42.5
2017,Lebanon,43.3,1,43.3
2017,Malaysia,133.3,3,44.43333333333334
2017,Mexico,104.4,2,52.2
2017,Netherlands,699.9,12,58.324999999999996
2017,New Zealand,201.89999999999998,4,50.474999999999994
2017,Norway,149.4,3,49.800000000000004
2017,Russian Federation,139.5,3,46.5
2017,Saudi Arabia,129.3,3,43.1
2017,Singapore,182.9,2,91.45
2017,South Africa,48.0,1,48.0
2017,South Korea,501.6,8,62.7
2017,Spain,303.4,7,43.34285714285714
2017,Sweden,412.4,8,51.55
2017,Switzerland,515.3,8,64.4125
2017,Taiwan,246.0,5,49.2
2017,Thailand,78.2,2,39.1
2017,United Kingdom,2432.8,39,62.379487179487185
2017,United States,4027.7,62,64.96290322580644
2018,Argentina,69.1,1,69.1
2018,Australia,983.3,17,57.84117647058823
2018,Austria,141.3,3,47.1
2018,Belgium,324.5,6,54.083333333333336
2018,Brazil,108.6,2,54.3
2018,Canada,734.1,13,56.46923076923077
2018,Chile,103.8,2,51.9
2018,China (Mainland),590.5,9,65.61111111111111
2018,Colombia,81.5,2,40.75
2018,Denmark,189.2,3,63.06666666666666
2018,Finland,159.2,3,53.06666666666666
2018,France,553.4,11,50.309090909090905
2018,Germany,950.3,18,52.794444444444444
2018,Hong Kong SAR,429.7,6,71.61666666666666
2018,India,227.5,5,45.5
2018,Indonesia,39.2,1,39.2
2018,Ireland,197.8,4,49.45
2018,Israel,145.7,3,48.56666666666666
2018,Italy,185.7,4,46.425
2018,Japan,697.1,11,63.372727272727275
