,Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
0,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Afghanistan,AFG,..,..,..,..,,,,,,,..,..
1,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Albania,ALB,..,..,..,..,,,,,,,..,..
2,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Algeria,DZA,..,..,..,..,0.478650003671646,0.478650003671646,0.478650003671646,0.478650003671646,0.478650003671646,0.478650003671646,..,..
3,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,American Samoa,ASM,..,..,..,..,,,,,,,..,..
4,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Andorra,AND,..,..,..,..,,,,,,,..,..
5,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Angola,AGO,..,..,..,0.0322900004684925,,,,,,,..,..
6,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,,,,,,,..,..
7,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Argentina,ARG,..,0.438840001821518,0.622619986534119,0.558149993419647,0.556309998035431,0.488299995660782,0.478130012750626,0.541260004043579,0.522159993648529,0.549470007419586,..,..
8,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Armenia,ARM,..,0.1910600066185,0.250019997358322,0.233050003647804,0.227880001068115,0.188759997487068,0.178540006279945,0.209199994802475,0.205569997429848,0.209549993276596,0.181150004267693,..
9,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Aruba,ABW,..,..,..,..,,,,,,,..,..
10,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Australia,AUS,..,1.57197999954224,1.91902005672455,..,1.87918996810913,1.8524450063705449,1.82570004463196,1.84039503335953,1.8550900220871,1.8550900220871,..,..
11,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Austria,AUT,..,1.88601994514465,3.04969000816345,3.11654996871948,3.05656003952026,3.09182000160217,3.13264989852905,3.20278000831604,3.26360988616943,3.20047998428345,..,..
12,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Azerbaijan,AZE,..,0.335999995470047,0.222320005297661,0.206369996070862,0.184679999947548,0.184159994125366,0.200130000710487,0.223900005221367,0.208360001444817,0.151299998164177,0.181779995560646,..
13,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Bahamas, The",BHS,..,..,..,..,,,,,,,..,..
14,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bahrain,BHR,..,..,..,..,,,,,,,..,..
15,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bangladesh,BGD,..,..,..,..,,,,,,,..,..
16,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Barbados,BRB,..,..,..,..,,,,,,,..,..
17,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Belarus,BLR,..,0.722100019454956,0.499989986419678,0.500630021095276,0.584110021591187,0.604430019855499,0.577329993247986,0.539009988307953,0.459809988737106,0.47477000951767,0.578429996967316,..
18,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Belgium,BEL,..,1.93620002269745,2.42816996574402,2.52338004112244,2.66666007041931,2.86017990112305,3.15659999847412,3.39175009727478,3.39239001274109,3.40544009208679,..,..
19,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Belize,BLZ,..,..,..,..,,,,,,,..,..
20,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Benin,BEN,..,..,..,..,,,,,,,..,..
21,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bermuda,BMU,..,..,0.195069998502731,..,0.22851000726223,0.22851000726223,0.264510005712509,0.22545999288559,0.22545999288559,0.22545999288559,..,..
22,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bhutan,BTN,..,..,..,..,,,,,,,..,..
23,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bolivia,BOL,..,0.287440001964569,..,..,,,,,,,..,..
24,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bosnia and Herzegovina,BIH,..,..,0.21603000164032,0.213369995355606,0.197799995541573,0.191990002989769,0.190009996294975,0.203250005841255,0.190349996089935,0.187429994344711,0.192279994487762,..
25,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Botswana,BWA,..,..,..,..,,,,,,,..,..
26,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Brazil,BRA,..,1.04751002788544,1.37092995643616,1.28637003898621,1.11749994754791,1.16769003868103,1.21096003055573,1.14525997638702,1.14525997638702,1.14525997638702,..,..
27,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,British Virgin Islands,VGB,..,..,..,..,,,,,,,..,..
28,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Brunei Darussalam,BRN,..,..,..,..,0.277640014886856,0.277640014886856,0.277640014886856,0.277640014886856,0.277640014886856,0.277640014886856,..,..
29,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bulgaria,BGR,..,0.495169997215271,0.949469983577728,0.770089983940125,0.740369975566864,0.754130005836487,0.832740008831024,0.849669992923737,0.772780001163483,0.754209995269775,..,..
30,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Burkina Faso,BFA,..,..,..,..,0.613610029220581,0.393980011343956,0.174349993467331,0.251159995794296,0.251260012388229,0.251260012388229,..,..
31,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Burundi,BDI,..,..,..,..,0.213119998574257,0.213119998574257,0.213119998574257,0.213119998574257,0.213119998574257,0.213119998574257,..,..
32,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cabo Verde,CPV,..,..,..,..,,,,,,,..,..
33,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cambodia,KHM,..,..,0.118230000138283,..,,,,,,,..,..
34,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cameroon,CMR,..,..,..,..,,,,,,,..,..
35,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Canada,CAN,..,1.85847997665405,1.69359004497528,1.72903001308441,1.68701994419098,1.73720002174377,1.75577998161316,1.93413996696472,1.86431002616882,1.71166002750397,1.70132994651794,..
36,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cayman Islands,CYM,..,..,..,..,,,,,,,..,..
37,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Central African Republic,CAF,..,..,..,..,,,,,,,..,..
38,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Chad,TCD,..,..,..,0.300500005483627,,,,,,,..,..
39,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Channel Islands,CHI,..,..,..,..,,,,,,,..,..
40,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Chile,CHL,..,..,0.382959991693497,0.371030002832413,0.356790006160736,0.369159996509552,0.342429995536804,0.335249990224838,0.360410004854202,0.360410004854202,..,..
