country,gdp_per_capita,year
Afghanistan,525.469770891619,2017
Albania,4614.0479692596,2017
Algeria,4554.66753957828,2017
American Samoa,11863.6839452565,2017
Andorra,40672.9943348258,2017
Angola,2437.25971190821,2017
Antigua and Barbuda,16965.7288273816,2017
Argentina,14532.5009308511,2017
Armenia,3869.05373867752,2017
Aruba,28440.051963759,2017
Australia,53901.7145392154,2017
Austria,47163.7425775142,2017
Azerbaijan,4147.1981423222,2017
"Bahamas, The",31875.4881749619,2017
Bahrain,24784.7693514607,2017
Bangladesh,1811.08221668646,2017
Barbados,19692.7606711615,2017
Belarus,5785.54491935194,2017
Belgium,44035.3239358548,2017
Belize,6072.58267640581,2017
Benin,1054.97408066814,2017
Bermuda,112339.425587467,2017
Bhutan,3435.28804735662,2017
Bolivia,3306.30301224425,2017
Bosnia and Herzegovina,5345.01985489192,2017
Botswana,7104.96401088027,2017
Brazil,10080.5092819305,2017
Brunei Darussalam,28024.3824618568,2017
Bulgaria,8696.68930427924,2017
Burkina Faso,709.091535894695,2017
Burundi,236.694472592753,2017
Cabo Verde,3893.09571382506,2017
Cambodia,1826.35391688754,2017
Cameroon,1496.08951771242,2017
Canada,45129.628116623,2017
Cayman Islands,80053.9444506891,2017
Central African Republic,432.324025684263,2017
Chad,854.46120040098,2017
Channel Islands,55806.5708942966,2017
Chile,14879.9086227187,2017
China,8979.67652709856,2017
Colombia,6479.53231292429,2017
Comoros,1423.92480215551,2017
"Congo, Dem. Rep.",436.584534687385,2017
"Congo, Rep.",2211.63309874797,2017
Costa Rica,12317.0902771322,2017
Cote d'Ivoire,1964.29930338343,2017
Croatia,13902.6310485422,2017
Cuba,8610.60829531998,2017
Curacao,18938.2440469703,2017
Cyprus,26696.990234375,2017
Czechia,20913.197632212,2017
Denmark,57521.5514992225,2017
Djibouti,2618.95521147369,2017
Dominica,8224.64896571414,2017
Dominican Republic,7412.71571571512,2017
Ecuador,6233.32244797718,2017
"Egypt, Arab Rep.",2395.10333299491,2017
El Salvador,4020.12671373919,2017
Equatorial Guinea,7809.10465655488,2017
Estonia,20851.5223496861,2017
Eswatini,3853.99147918102,2017
Ethiopia,745.632433925343,2017
Faroe Islands,59387.353086482,2017
Fiji,5826.84814459328,2017
Finland,46085.0174739036,2017
France,38687.1626407164,2017
French Polynesia,20826.9312492172,2017
Gabon,6921.73373135624,2017
"Gambia, The",642.522641296331,2017
Georgia,4418.75206546679,2017
Germany,45526.5999576533,2017
Ghana,2012.28662641265,2017
Greece,18631.9930129293,2017
Greenland,50765.7494665372,2017
Grenada,9751.42661155932,2017
Guam,36779.0078903909,2017
Guatemala,4324.99608157801,2017
Guinea,833.598621691121,2017
Guinea-Bissau,783.123186602022,2017
Guyana,6178.6650437298,2017
Haiti,1395.23945184461,2017
Honduras,2413.0076562942,2017
"Hong Kong SAR, China",46160.429791493,2017
Hungary,14736.1668157258,2017
Iceland,72010.1490316258,2017
India,1950.10468280866,2017
Indonesia,3798.88326174526,2017
"Iran, Islamic Rep.",5753.11544659399,2017
Iraq,4759.2846435467,2017
Ireland,72198.1076995377,2017
Isle of Man,83481.3038489014,2017
Israel,41138.470964272,2017
Italy,32844.115660604,2017
Jamaica,5259.31332766957,2017
Japan,38834.0529341227,2017
Jordan,4065.61628749384,2017
Kazakhstan,8943.08416791984,2017
Kenya,1667.48447230835,2017
Kiribati,1853.05122713319,2017
"Korea, Rep.",31600.7358741365,2017
Kosovo,4009.31799347588,2017
Kuwait,29047.6535822842,2017
Kyrgyz Republic,1221.39046807082,2017
Lao PDR,2432.43059478511,2017
Latvia,15132.4958333982,2017
Lebanon,8608.21084982387,2017
Lesotho,1069.36673247542,2017
Liberia,699.269095727404,2017
Libya,9965.83236729757,2017
Liechtenstein,170547.092298954,2017
Lithuania,16800.1510246099,2017
Luxembourg,110193.213797228,2017
"Macao SAR, China",77704.9215312666,2017
Madagascar,491.866848718929,2017
Malawi,495.769683367165,2017
Malaysia,9862.54806612235,2017
Maldives,10509.628805812,2017
Mali,924.057531692284,2017
Malta,30317.2443357939,2017
Marshall Islands,4592.83457628576,2017
Mauritania,1615.00401327323,2017
Mauritius,10841.6847754844,2017
Mexico,9649.27816772402,2017
"Micronesia, Fed. Sts.",3279.10779039285,2017
Moldova,3453.26727720294,2017
Monaco,170663.375247872,2017
Mongolia,3645.96708669551,2017
Montenegro,7758.36921956034,2017
Morocco,3296.52661132813,2017
Mozambique,470.93856305196,2017
Myanmar,1272.82241830603,2017
Namibia,5143.96072323076,2017
Nauru,9613.41209082575,2017
Nepal,1034.28374906846,2017
Netherlands,49513.6817346384,2017
New Caledonia,32354.7102832901,2017
New Zealand,42950.3841711138,2017
Nicaragua,2182.61380995674,2017
Niger,521.804130023434,2017
Nigeria,1876.34027111773,2017
North Macedonia,5955.2973863451,2017
Northern Mariana Islands,31225.6049960968,2017
Norway,76131.8384032764,2017
Oman,17820.0661809335,2017
Pakistan,1519.23459514248,2017
Palau,16034.1342914889,2017
Panama,15694.6297454295,2017
Papua New Guinea,2477.76530986323,2017
Paraguay,6152.26711537703,2017
Peru,6736.16693725487,2017
Philippines,3038.12124959289,2017
Poland,13913.3415190124,2017
Portugal,21442.3842768879,2017
Puerto Rico (US),30328.4871132804,2017
Qatar,63279.8556949332,2017
Romania,10727.9822007426,2017
Russian Federation,10658.9130859375,2017
Rwanda,758.300966737624,2017
Samoa,4307.59381964907,2017
San Marino,45192.0279766943,2017
Sao Tome and Principe,1555.79477812888,2017
Saudi Arabia,23929.2907135982,2017
Senegal,1356.80518449031,2017
Serbia,6548.03653824187,2017
Seychelles,17480.3651911372,2017
Sierra Leone,779.186007841728,2017
Singapore,61236.251270627,2017
Sint Maarten (Dutch part),34701.3058494468,2017
Slovak Republic,17645.5298716761,2017
Slovenia,23303.077705959,2017
Solomon Islands,2143.57465243959,2017
Somalia,510.939952317726,2017
South Africa,6618.33508255701,2017
Spain,28381.3425596906,2017
Sri Lanka,4398.88828068715,2017
St. Kitts and Nevis,22464.9899633959,2017
St. Lucia,11333.1123822102,2017
St. Martin (French part),19033.0594854512,2017
St. Vincent and the Grenadines,7988.04445019298,2017
Sudan,966.505676269531,2017
Suriname,6049.52128553675,2017
Sweden,53300.8587281785,2017
Switzerland,82254.3770471336,2017
Syrian Arab Republic,851.502005254153,2017
Tajikistan,829.45714764957,2017
Tanzania,986.674011230469,2017
Thailand,6413.09182530343,2017
Timor-Leste,1266.17767952941,2017
Togo,792.765487219069,2017
Tonga,4365.92929788648,2017
Trinidad and Tobago,17578.6417765865,2017
Tunisia,3619.03247319953,2017
